timestamp,uuid,screenOn,timezone,utc_date_time,local_date_time,local_date,local_time,local_hour,local_minute
1484731317,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:21:57,2017-01-18 09:21:57,2017-01-18,09:21:57,9,21
1484731408,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:23:28,2017-01-18 09:23:28,2017-01-18,09:23:28,9,23
1484731517,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:25:17,2017-01-18 09:25:17,2017-01-18,09:25:17,9,25
1484731588,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:26:28,2017-01-18 09:26:28,2017-01-18,09:26:28,9,26
1484731697,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:28:17,2017-01-18 09:28:17,2017-01-18,09:28:17,9,28
1484731797,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:29:57,2017-01-18 09:29:57,2017-01-18,09:29:57,9,29
1484731977,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:32:57,2017-01-18 09:32:57,2017-01-18,09:32:57,9,32
1484732057,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:34:17,2017-01-18 09:34:17,2017-01-18,09:34:17,9,34
1484732188,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:36:28,2017-01-18 09:36:28,2017-01-18,09:36:28,9,36
1484732297,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:38:17,2017-01-18 09:38:17,2017-01-18,09:38:17,9,38
1484732397,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:39:57,2017-01-18 09:39:57,2017-01-18,09:39:57,9,39
1484732417,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:40:17,2017-01-18 09:40:17,2017-01-18,09:40:17,9,40
1484732517,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:41:57,2017-01-18 09:41:57,2017-01-18,09:41:57,9,41
1484732597,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:43:17,2017-01-18 09:43:17,2017-01-18,09:43:17,9,43
1484732697,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:44:57,2017-01-18 09:44:57,2017-01-18,09:44:57,9,44
1484732817,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:46:57,2017-01-18 09:46:57,2017-01-18,09:46:57,9,46
1484732937,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:48:57,2017-01-18 09:48:57,2017-01-18,09:48:57,9,48
1484732957,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:49:17,2017-01-18 09:49:17,2017-01-18,09:49:17,9,49
1484733057,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:50:57,2017-01-18 09:50:57,2017-01-18,09:50:57,9,50
1484733197,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:53:17,2017-01-18 09:53:17,2017-01-18,09:53:17,9,53
1484733317,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:55:17,2017-01-18 09:55:17,2017-01-18,09:55:17,9,55
1484733448,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:57:28,2017-01-18 09:57:28,2017-01-18,09:57:28,9,57
1484733597,3f1d7407-83b5-4fec-8379-6f829b9cf56d,false,Europe/London,2017-01-18 09:59:57,2017-01-18 09:59:57,2017-01-18,09:59:57,9,59
